sheet,slug,bank_class,period_bs,n_obs,min,max,rel_diff,files
C6,others,finance,Ashadh 2079 (Mid-July 2022),30,0.115,356.63480937,3100.1722553913046,Shrawan_2079_PublishV1=356.63; Shrawan_2079_PublishV1=0.12; Ashar2079_Publish=356.63; Ashar2079_Publish=0.12; Bhadau_2081_Publish-1=356.63; Bhadau_2081_Publish-1=0.12; Ashwin_2081_Publish-1=356.63; Ashwin_2081_Publish-1=0.12; Kartik_2081_Publish=356.63; Kartik_2081_Publish=0.12; Mangsir_2081_Publish-V2=356.63; Mangsir_2081_Publish-V2=0.12; Poush_2081_Publish_2=356.63; Poush_2081_Publish_2=0.12; Magh_2081_Publish-3=356.63; Magh_2081_Publish-3=0.12; Falgun_2081_Publish=356.63; Falgun_2081_Publish=0.12; Chaitra_2081_Publish=356.63; Chaitra_2081_Publish=0.12; Saun-2082-Publish=356.63; Saun-2082-Publish=0.12; Bhadau_2082_Publish=356.63; Bhadau_2082_Publish=0.12; Baisakh_2082_Publish-1=356.63; Baisakh_2082_Publish-1=0.12; Jestha_2082_Publish-3=356.63; Jestha_2082_Publish-3=0.12; Asar_2082_Publish=356.63; Asar_2082_Publish=0.12
C6,others,commercial,Chait 2080 (Mid-Apr 2023),4,6.6892887299999995,18829.776894925362,2813.914657589517,Chaitra_2079_Publish=18829.78; Chaitra_2079_Publish=6.69; Baisakh_2080_Publish-1=18829.78; Baisakh_2080_Publish-1=6.69
C6,others,system_total,Ashadh 2082 (Mid-July 2025),4,7.99921744,22162.68550916503,2769.606709393942,Saun-2082-Publish=22162.69; Saun-2082-Publish=8.00; Asar_2082_Publish=22162.69; Asar_2082_Publish=8.00
C6,others,system_total,Magh 2080 (Mid-Feb 2023),4,5.927758959999999,16275.237086587424,2744.5969779492225,Magh_2079_Publish-4=16275.24; Magh_2079_Publish-4=5.93; Falgun_2079_Publish-4=16275.24; Falgun_2079_Publish-4=5.93
C6,others,system_total,Falgun 2080 (Mid-Mar 2023),4,6.7250035399999994,18093.8536898922,2689.5344483866547,Falgun_2079_Publish-4=18093.85; Falgun_2079_Publish-4=6.73; Chaitra_2079_Publish=18093.85; Chaitra_2079_Publish=6.73
C6,others,commercial,Magh 2080 (Mid-Feb 2023),4,5.646266509999999,15164.836584837423,2684.816646801786,Magh_2079_Publish-4=15164.84; Magh_2079_Publish-4=5.65; Falgun_2079_Publish-4=15164.84; Falgun_2079_Publish-4=5.65
C6,others,commercial,Ashadh 2082 (Mid-July 2025),4,7.99921744,21257.354879476406,2656.429309669623,Saun-2082-Publish=21257.35; Saun-2082-Publish=8.00; Asar_2082_Publish=21257.35; Asar_2082_Publish=8.00
C6,others,commercial,Falgun 2080 (Mid-Mar 2023),4,6.443511089999999,16871.742073931382,2617.408168818932,Falgun_2079_Publish-4=16871.74; Falgun_2079_Publish-4=6.44; Chaitra_2079_Publish=16871.74; Chaitra_2079_Publish=6.44
C5,profit-loss-a-c,finance,Ashadh 2075 (Mid-July 2018),4,0.5852274399999999,1478.2095765698275,2524.8719525691204,Shrawan-2078-2=1478.21; Shrawan-2078-2=0.59; Ashadh-2078-2=1478.21; Ashadh-2078-2=0.59
C6,others,system_total,Mangsir 2079 (Mid-Dec 2022),4,5.77550037,13341.799295073854,2309.0681223008655,Mangsir_2079_Publish_V1=13341.80; Mangsir_2079_Publish_V1=5.78; Poush2079_Publish-1=13341.80; Poush2079_Publish-1=5.78
C6,others,commercial,Poush 2080 (Mid-Jan 2023),4,5.646266509999999,12949.364767510158,2292.4384596575055,Poush2079_Publish-1=12949.36; Poush2079_Publish-1=5.65; Magh_2079_Publish-4=12949.36; Magh_2079_Publish-4=5.65
C6,others,commercial,Mangsir 2079 (Mid-Dec 2022),4,5.49400792,12568.323708073855,2286.642080442042,Mangsir_2079_Publish_V1=12568.32; Mangsir_2079_Publish_V1=5.49; Poush2079_Publish-1=12568.32; Poush2079_Publish-1=5.49
C6,others,system_total,Kartik 2079 (Mid-Nov 2022),4,5.735552050000001,11090.338712544712,1932.613123176994,Kartik2079_publish=11090.34; Kartik2079_publish=5.74; Mangsir_2079_Publish_V1=11090.34; Mangsir_2079_Publish_V1=5.74
C6,others,commercial,Kartik 2079 (Mid-Nov 2022),4,5.454059600000001,10433.250019034711,1911.9328947990793,Kartik2079_publish=10433.25; Kartik2079_publish=5.45; Mangsir_2079_Publish_V1=10433.25; Mangsir_2079_Publish_V1=5.45
C6,others,system_total,Chait 2080 (Mid-Apr 2023),4,10.97078118,20166.025346958955,1837.1576494955627,Chaitra_2079_Publish=20166.03; Chaitra_2079_Publish=10.97; Baisakh_2080_Publish-1=20166.03; Baisakh_2080_Publish-1=10.97
C6,others,commercial,Falgun 2081 (Mid-Mar 2024),4,8.56127498,15136.34074779713,1767.0007689458807,Falgun_2080_Publish-1=15136.34; Falgun_2080_Publish-1=8.56; Chaitra_2080_Publish=15136.34; Chaitra_2080_Publish=8.56
C6,others,system_total,Falgun 2081 (Mid-Mar 2024),4,9.06845753,15744.145403740687,1735.1436993729503,Falgun_2080_Publish-1=15744.15; Falgun_2080_Publish-1=9.07; Chaitra_2080_Publish=15744.15; Chaitra_2080_Publish=9.07
C6,others,system_total,Ashwin 2079 (Mid-Oct 2022),4,5.3588433,8619.593006174291,1607.4801371546525,Asoj_2079_PublishV1=8619.59; Asoj_2079_PublishV1=5.36; Kartik2079_publish=8619.59; Kartik2079_publish=5.36
C6,others,commercial,Magh 2081 (Mid-Feb 2024),4,8.56127498,13198.923504540347,1540.7006853972523,Magh_2080_Publish=13198.92; Magh_2080_Publish=8.56; Falgun_2080_Publish-1=13198.92; Falgun_2080_Publish-1=8.56
